created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location,mention_username
Tue Nov 14 16:05:55 +0000 2023,1724458651187109900,as far as i know subjectively: Anies: &gt; Jaklingko  &gt; Jak+ branding &gt; new conceptualised development (Jak habitat  RPTRA) &gt; new RTRW (dunno better or worse) &gt; JIS &gt; F3  Prabowo: &gt; dozens of Dassault Rafale purchase &gt; also F35 &gt; also F15 EX &gt; deepened 🇮🇩-🇺🇲 defense cooperation,284,146,1119,7623,en,1122836749137240064,1724458651187109900,kafir_introvert,https://twitter.com/kafir_introvert/status/1724458651187109900,,,
Sat Oct 28 03:41:35 +0000 2023,1718110736139063311,Responses I got from: - criticizing Ganjar: 🤬🖕🏽🤬🖕🏽🤬🖕🏽🤬 - criticizing Prabowo: 🤬🖕🏽🤬🖕🏽🤬🖕🏽🤬 - criticizing Anies: 🤬🖕🏽🤬🖕🏽🤬🖕🏽🤬,2,5,49,601,en,2422277954,1718110736139063311,Fayalet,https://twitter.com/Fayalet/status/1718110736139063311,,"Ho Chi Minh, Vietnam",
Mon Feb 13 05:48:53 +0000 2023,1625009093961486336,The Supreme Court slashed the prison sentence for former Fisheries Minister Edhy Prabowo from 9 years handed by the High Court back to the original sentence of 5 years and he no longer has to repay Rp10.7 billion in embezzled funds.  It must be nice …   https://t.co/0p7g4VJuRL,48,29,145,378,en,929274077323259905,1625009093961486336,nuicemedia,https://twitter.com/nuicemedia/status/1625009093961486336,,Indonesia,
Wed Sep 20 07:03:41 +0000 2023,1704390860316750181,@kuromigosong Prabowo Subianto = PS = Patrick Star🤯🤯🤯,57,18,170,1690,en,1431089875982290948,1704321483714216258,kadyasandya,https://twitter.com/kadyasandya/status/1704390860316750181,,Lauriergracht No. 37,kuromigosong
Tue Sep 19 14:14:33 +0000 2023,1704136902108918228,Finally  Minister of Defense @prabowo:  1. Very realist conception of international relations: if 🇮🇩 is weak  🇮🇩 will be stepped on by other countries 2. Jokowi's export ban on nickel and others is a good policy &amp; this garners the consternation of other countries + wont back down https://t.co/Eh1pDQFvGn,7,16,75,468,en,1022101929244020736,1704136902108918228,Trystanto2,https://twitter.com/Trystanto2/status/1704136902108918228,https://pbs.twimg.com/media/F6ZPeWDbsAAh_-Q.jpg,,prabowo
Mon Oct 30 07:01:28 +0000 2023,1718885815781306569,Prez candidates Prabowo  Anies  and Ganjar had lunch with the president. Anies said they relayed a message that the president should keep his neutrality as the election draws near https://t.co/EVpQqiKg58,39,37,58,359,en,27646608,1718885815781306569,stanleywidianto,https://twitter.com/stanleywidianto/status/1718885815781306569,https://pbs.twimg.com/media/F9q1iMRbkAAoPyt.jpg,"Jakarta, Indonesia",
Fri Oct 27 15:44:38 +0000 2023,1717930311374483956,Responses I got from: - criticizing Ganjar: ❤️❤️❤️❤️ - criticizing Prabowo: ❤️❤️❤️❤️ - criticizing Anies: 🤬🖕🏽🤬🖕🏽🤬🖕🏽🤬🖕🏽🤬🖕🏽🤬🖕🏽🤬🖕🏽🤬🖕🏽🤬🖕🏽🤬  Seriously  these Anies fanboys are so intolerable. Just like Jokowi's supporter back in 2014.,38,45,69,386,en,4895949967,1717930311374483956,karimnas_,https://twitter.com/karimnas_/status/1717930311374483956,,,
Thu Nov 16 11:32:37 +0000 2023,1725114648368976305,Insightful deliberations with the Defence Minister of Indonesia  Mr Prabowo Subianto in Jakarta today. Appreciated Indonesia’s leadership of ASEAN this year  and the excellent organisation of the ADMM-Plus meeting.   We took stock of the bilateral defence relationship and… https://t.co/VMLIUUQ3Vt,5,45,277,1673,en,1346439824,1725114648368976305,rajnathsingh,https://twitter.com/rajnathsingh/status/1725114648368976305,https://pbs.twimg.com/media/F_DWn2TWYAA1PZA.jpg,,
Mon Nov 21 09:03:55 +0000 2022,1594617591464865792,It was great to see 🇮🇩 Defense Minister @prabowo again to discuss our bilateral defense partnership. We committed to further enhancing defense cooperation and interoperability between our two militaries. We also reaffirmed our unwavering support for a #FreeandOpenIndoPacific. https://t.co/5Bb6HHew4I,7,74,118,552,en,1338994562090602497,1594617591464865792,SecDef,https://twitter.com/SecDef/status/1594617591464865792,https://pbs.twimg.com/ext_tw_video_thumb/1594616995756244993/pu/img/1zLUktF5RhXzGDhZ.jpg,The Pentagon,prabowo
Mon Oct 03 18:01:52 +0000 2022,1576995968880607232,@ricosync Is it just me  or Prabowo looks so tempting to pick for 2024?,36,17,18,486,en,2565020041,1576838502834020352,WilliamGuido3,https://twitter.com/WilliamGuido3/status/1576995968880607232,,"Kota Yogyakarta, Yogyakarta",ricosync
Fri Oct 21 12:13:56 +0000 2022,1583431387079618562,I was pleased to host Indonesian Defense Minister @Prabowo yesterday for a discussion about ways to enhance the U.S.–Indonesia defense relationship in support of a free and open Indo-Pacific. https://t.co/JK2TbX4Ey7,12,88,188,1008,en,1338994562090602497,1583431387079618562,SecDef,https://twitter.com/SecDef/status/1583431387079618562,https://pbs.twimg.com/media/Ffl6b2GXkAA6GmI.jpg,The Pentagon,Prabowo
Tue Nov 14 15:47:54 +0000 2023,1724454115952964039,Indonesian presidential candidate Prabowo Subianto said his nation could join BRICS.,7,14,77,443,en,701774916920733696,1724454115952964039,thesiriusreport,https://twitter.com/thesiriusreport/status/1724454115952964039,,,
Fri Nov 24 06:38:14 +0000 2023,1727939665628655766,These doctors collapsed after a 48 hour surgery separating Zarry Hendrik lips from Prabowo’s ass https://t.co/axEFOpzzYo,130,82,1324,5263,en,132435339,1727939665628655766,arddhe,https://twitter.com/arddhe/status/1727939665628655766,https://pbs.twimg.com/media/F_rf9ujaYAADZII.jpg,beneath you,
Sat Nov 18 11:56:02 +0000 2023,1725845315402486114,#Indonesia  Prabowo Subianto  the Indonesian presidential candidate  has surged ahead in the polls  with younger voters showing increased support since he chose Gibran  President Joko Widodo's son  as his running mate. Find out more: https://t.co/DVoXUlzUqL https://t.co/S4WOvAk2hw,6,28,38,370,en,1588927724994940929,1725845315402486114,theQonversation,https://twitter.com/theQonversation/status/1725845315402486114,https://pbs.twimg.com/ext_tw_video_thumb/1725845082736095232/pu/img/O0IffJKHo_tktLph.jpg,London,
Thu Apr 07 03:26:07 +0000 2022,1511908148986413059,@senibud if i was jokowi's wife i would've dragged this prabowo guy back and forth at this point sorry,23,26,38,1213,en,814042632871522304,1511708623617277952,davidrrjones,https://twitter.com/davidrrjones/status/1511908148986413059,,mersey paradise,senibud
Fri May 12 16:07:48 +0000 2023,1657054978786349060,@m4retha idk my conscious says it’s anies but i choose prabowo bc he’s a cat dad don’t @ me,200,27,73,1085,en,1131445381269577728,1657050269417627649,purpbIe,https://twitter.com/purpbIe/status/1657054978786349060,,,m4retha
Thu Nov 16 10:14:36 +0000 2023,1725095012038484151,Minister @Prabowo and I just signed a historic Defense Cooperation Arrangement on the margins of the ADMM-Plus here in Jakarta.  The deepening defense relationship between the United States and Indonesia forms a core part of our newly upgraded Comprehensive Strategic Partnership. https://t.co/tWX5G6qaus,46,215,288,1315,en,1338994562090602497,1725095012038484151,SecDef,https://twitter.com/SecDef/status/1725095012038484151,https://pbs.twimg.com/media/F_DEwV6aEAAxTYY.jpg,The Pentagon,Prabowo
Tue Nov 14 08:57:03 +0000 2023,1724350723096486290,We're about to see a whole lot more of this in the coming months:  Indonesia’s current Defence minister and likely next President Prabowo slams West for double standards  lack of moral leadership: ‘we don’t really need Europe’ https://t.co/VhmuvcrGxC  He calls for a ‘rebalancing’…,24,55,419,1266,en,43061739,1724350723096486290,RnaudBertrand,https://twitter.com/RnaudBertrand/status/1724350723096486290,,,
Fri Aug 18 14:49:35 +0000 2023,1692549305729798421,@heylutfi_ prabowo after losing his 4th consecutive elections,2,23,29,782,en,1278269892882337792,1692419727854051328,koganenohikari,https://twitter.com/koganenohikari/status/1692549305729798421,,Soul Society,heylutfi_
Fri May 12 16:37:02 +0000 2023,1657062337164234752,@m4retha no one tbh  ganjar and anies is racist/sara idk what u call it  prabowo is a mastermind of a massacre so none of em i guess,29,10,30,786,en,1241585525212844032,1657050269417627649,choicolatae2,https://twitter.com/choicolatae2/status/1657062337164234752,,she/her,m4retha
Sat May 13 01:58:02 +0000 2023,1657203515289391105,@m4retha They are all evil  but the if you look the experience and also the Indonesia geopolitic  the most logical think is to vote prabowo.,28,18,24,914,en,1418808536935669770,1657050269417627649,ovis_aries2000,https://twitter.com/ovis_aries2000/status/1657203515289391105,,"Jakarta Capital Region, Indone",m4retha
Mon Oct 23 06:57:15 +0000 2023,1716348039336767993,prabowo agenda is about malnutrition problems  please bro 0.5-1g protein/body weight  ill vote for bro,30,9,59,950,en,1281232073227788288,1716271756934357018,ayehuasca,https://twitter.com/ayehuasca/status/1716348039336767993,,Dol Guldur,
Tue Aug 01 10:42:12 +0000 2023,1686326458791190528,Met with @prabowo  Indonesian Minister of Defense  in Jakarta today. We reviewed relations between our brotherly countries and discussed ways to enhance our military and defense cooperation. I also met leading defense companies and explored their expertise and latest products. https://t.co/72ZiF9MtO8,10,285,322,978,en,975194850994851840,1686326458791190528,kbsalsaud,https://twitter.com/kbsalsaud/status/1686326458791190528,https://pbs.twimg.com/media/F2cI9ftW8AAtrtu.jpg,,prabowo
Mon Nov 06 01:54:11 +0000 2023,1721345201032343603,"@lgabyt EXACTLY 😭 gw nggak ngerti kenapa lagi banyak bgt edits dan comments tentang prabowo being gemoy"" 💀 did we forget that he's a ruthless military man that k*lled people?""",20,9,182,1505,en,4898355505,1721239007366173101,aqoqoa,https://twitter.com/aqoqoa/status/1721345201032343603,,she/her | 🇮🇩 | id/eng/日本語ok,lgabyt
Tue Nov 14 20:20:00 +0000 2023,1724522590067450204,Indonesia could join BRICS – presidential candidate  Being part of the group may be beneficial for the country’s economy  Prabowo Subianto says  Read: https://t.co/njigfia7VX https://t.co/ycuFEjoSsA,13,28,125,587,en,64643056,1724522590067450204,RT_com,https://twitter.com/RT_com/status/1724522590067450204,https://pbs.twimg.com/media/F-5ZvjeWcAAxxCh.jpg,,
Sat Dec 17 07:49:55 +0000 2022,1604021054829363200,Prabowo tells an apocryphal tale here based on the struggle for power between shoguns Toyotomi and Tokugawa in 16th century Japan  which is almost certainly an allegory for Prabowo’s own struggles with Jokowi.,7,4,97,333,en,23172839,1604021054829363200,ConnellyAL,https://twitter.com/ConnellyAL/status/1604021054829363200,,Singapore,
Thu Nov 23 02:01:57 +0000 2023,1727507750639517900,prabowo is not wonyoung  dongpyo  yoojung or park jihoon you think he is,213,8,440,4519,en,1119176613021642752,1727507391401603138,tabibiba,https://twitter.com/tabibiba/status/1727507750639517900,,IISMA Yale 2023 ˚ ༘ ೀ⋆｡˚  ,
Fri Jun 02 11:34:47 +0000 2023,1664596417782923266,I had a great conversation with Minister @prabowo on the strength of the bilateral defense relationship  our common views on regional security issues  and the importance of ASEAN to the security and prosperity of the Indo-Pacific. https://t.co/fB1CX7eXFc,20,86,204,1138,en,1338994562090602497,1664596417782923266,SecDef,https://twitter.com/SecDef/status/1664596417782923266,https://pbs.twimg.com/media/FxnVmKuWYAAj5tf.jpg,The Pentagon,prabowo
Sat Aug 19 02:55:59 +0000 2023,1692732110266937364,@Okki_Sutanto The devil works hard but Prabowo campaign team works harder.,4,1,61,477,en,1249662133916192768,1692664615573086656,tilehopper,https://twitter.com/tilehopper/status/1692732110266937364,,In your phone,Okki_Sutanto
Tue Nov 14 17:35:14 +0000 2023,1724481124431470991,@kafir_introvert Im joking with my homies if prabowo got elected   He will buy F-35 and nasi padang become 50k sebungkus 💀,5,2,41,877,en,1337747357128040449,1724458651187109900,Natsuyukifuyu,https://twitter.com/Natsuyukifuyu/status/1724481124431470991,,,kafir_introvert
Wed Feb 08 23:53:41 +0000 2023,1623470153089392640,Indonesia's Defence Minister Prabowo Subianto praised the superior strength of the Russian military  The myth of Russian military strength lives on in the Global South in spite of the Ukraine War,7,41,62,471,en,1957610664,1623470153089392640,SamRamani2,https://twitter.com/SamRamani2/status/1623470153089392640,,"London, England",
Thu Aug 24 23:37:51 +0000 2023,1694856575549067504,Great to meet today with Minister @Prabowo and discuss how the United States and Indonesia are enhancing our defense relationship. We share a vision for a free and open Indo-Pacific – and our two countries are delivering together in important ways.,6,57,101,425,en,1338994562090602497,1694856575549067504,SecDef,https://twitter.com/SecDef/status/1694856575549067504,,The Pentagon,Prabowo
